price,qty,side
99.86,134,B
99.88,11,S
99.92,97,S
99.93,2,B
99.95,33,B
99.94,65,S
99.94,13,B
99.98,13,S
99.99,6,B
100.04,73,B
100.03,11,S
99.99,7,S
100,185,S
100.05,91,B
100.06,58,S
100.08,4,S
100.07,3,S
100.05,38,B
100.09,71,S
100.06,55,S
100.06,5,S
100.03,50,B
100.04,7,S
100.02,44,B
100.01,19,S
100.06,16,S
100.06,72,B
100.07,1,B
100.06,1,B
100.1,21,B
100.06,29,S
100.1,180,S
100.11,15,B
100.15,34,S
100.18,148,S
100.17,17,S
100.12,71,B
100.11,89,B
100.08,59,B
100.11,11,S
100.1,52,S
100.1,123,B
100.06,17,B
100.07,85,S
100.08,137,B
100.05,3,B
100.05,35,B
100.04,33,S
100,109,S
100.03,4,B
100.06,71,S
100.07,47,S
100.04,10,S
100.01,12,S
99.99,143,S
99.94,4,B
99.93,110,S
99.89,1,B
99.93,35,S
99.95,17,S
99.95,85,B
99.99,202,S
100.01,27,S
100.06,40,S
100.08,35,B
100.03,43,B
99.99,71,B
100,36,S
100,80,S
100.03,83,S
100.04,26,B
99.99,53,B
99.96,23,S
99.96,21,B
99.94,142,B
99.92,13,S
99.91,30,S
99.94,70,S
99.97,17,S
100.02,75,S
99.97,5,S
100.02,9,S
100.01,27,S
100.03,128,S
100.06,17,B
100.09,149,B
100.08,75,B
100.09,11,S
100.09,79,B
100.12,43,S
100.13,29,B
100.17,60,B
100.12,4,B
100.09,75,S
100.1,4,S
100.13,15,B
100.13,8,B
100.13,83,S
100.08,27,S
100.06,107,S
100.04,37,B
100.07,39,B
100.05,86,B
100.04,55,S
100.05,107,S
100.06,78,B
100.02,226,B
99.98,40,S
100.01,30,B
100.05,91,S
100.02,13,S
100,14,B
100.02,41,S
100.05,58,S
100.04,167,S
100.09,23,B
100.08,68,S
100.1,69,S
100.1,7,S
100.12,97,B
100.07,54,S
100.07,40,B
100.07,86,B
100.02,74,S
99.99,46,S
100,9,S
100.03,55,B
100.07,64,B
100.12,27,S
100.13,53,S
100.13,6,S
100.13,2,S
100.14,16,B
100.12,14,S
100.13,54,S
100.11,16,S
100.07,17,S
100.08,8,B
100.05,69,B
100.07,2,B
100.06,53,B
100.08,1,B
100.07,204,S
100.03,152,S
100.08,239,S
100.1,2,B
100.09,48,S
100.1,7,S
100.12,18,S
100.15,47,B
100.17,17,B
100.19,74,S
100.18,97,S
100.16,39,S
100.17,96,S
100.2,60,B
100.19,130,S
100.21,28,B
100.17,113,S
100.14,61,S
100.11,17,B
100.1,87,S
100.05,160,S
100.05,6,S
100.09,103,S
100.04,98,B
100.07,35,S
100.05,32,S
100.03,46,B
100.01,51,B
100.01,77,S
100.02,34,B
100.02,3,B
100.06,144,B
100.07,130,B
100.09,31,S
100.13,25,B
100.08,84,S
100.13,28,B
100.14,120,B
100.15,120,B
100.14,29,B
100.18,11,B
100.18,53,S
100.23,18,B
100.26,29,B
100.23,74,B
100.23,85,S
100.22,3,S
100.26,48,B
100.27,5,S
100.27,71,S
100.3,30,B
100.31,5,B
100.33,20,S
100.34,13,S
100.38,128,B
100.35,126,B
100.35,26,B
100.37,93,S
100.33,6,B
100.3,4,B
100.27,7,S
100.32,133,B
100.34,7,S
100.36,25,S
100.36,40,B
100.39,25,B
100.41,58,S
100.41,102,B
100.38,12,S
100.42,2,B
100.44,5,S
100.47,11,S
100.52,55,S
100.54,18,B
100.51,23,B
100.48,23,B
100.44,243,B
100.41,7,S
100.43,8,S
100.44,33,S
100.41,72,B
100.38,112,B
100.37,9,B
100.42,53,B
100.43,4,S
100.41,201,B
100.43,30,B
100.41,27,S
100.39,7,S
100.43,12,S
100.38,32,S
100.41,48,S
100.43,28,S
100.45,27,S
100.49,3,B
100.48,95,S
100.47,1,B
100.47,50,S
100.43,62,S
100.39,194,S
100.38,13,B
100.37,8,B
100.38,8,B
100.38,12,S
100.38,34,S
100.43,181,B
100.38,7,B
100.41,37,S
100.42,131,S
100.4,62,S
100.42,78,B
100.42,26,B
100.38,68,S
100.33,19,S
100.38,31,B
100.4,71,B
100.44,24,S
100.43,105,S
100.48,81,B
100.52,7,S
100.52,41,B
100.49,6,S
100.54,27,B
100.55,176,S
100.54,95,S
100.55,5,S
100.6,30,S
100.65,22,B
100.66,13,S
100.7,4,S
100.67,33,B
100.63,15,B
100.62,57,B
100.58,79,B
100.56,29,B
100.59,25,B
100.58,40,S
100.57,63,S
100.58,25,S
100.55,20,B
100.52,28,S
100.5,28,B
100.47,3,S
100.45,49,S
100.42,6,S
100.39,35,B
100.38,19,S
100.41,7,S
100.44,11,S
100.46,66,S
100.49,33,S
100.45,33,B
100.42,59,S
100.42,9,S
100.39,34,B
100.43,44,B
100.46,194,B
100.49,286,S
100.54,44,B
100.5,4,B
100.55,91,S
100.52,43,B
100.5,73,S
100.48,3,S
100.47,13,S
100.51,29,B
100.49,1,B
100.5,54,B
100.53,26,B
100.55,14,B
100.53,54,B
100.54,32,S
100.58,29,S
100.59,59,B
100.57,68,B
100.54,8,S
100.57,69,B
100.59,49,B
100.56,41,B
100.59,65,B
100.63,26,S
100.61,83,S
100.6,59,S
100.64,56,B
100.67,62,S
100.7,103,S
100.71,84,B
100.74,1,B
100.73,36,B
100.72,26,B
100.74,68,B
100.79,87,S
100.8,30,B
100.85,41,B
100.81,2,S
100.85,81,B
100.89,29,B
100.86,69,S
100.82,144,S
100.79,28,B
100.79,2,S
100.83,88,B
100.88,23,B
100.9,20,B
100.93,28,B
100.93,68,S
100.88,13,B
100.9,115,S
100.92,45,S
100.94,21,S
100.98,84,S
100.96,38,S
101.01,28,S
101.06,34,B
101.04,5,B
101.07,252,S
101.11,3,B
101.12,51,B
101.16,58,B
101.14,16,B
101.13,31,S
101.14,89,S
101.15,60,B
101.14,5,B
101.11,65,S
101.13,134,B
101.13,17,S
101.15,69,S
101.12,214,S
101.11,1,S
101.1,170,B
101.15,16,S
101.14,94,B
101.18,94,B
101.16,33,B
101.12,69,S
101.16,176,B
101.18,18,B
101.14,15,S
101.1,96,B
101.05,13,S
101.1,22,B
101.08,67,B
101.13,31,B
101.08,15,B
101.13,6,B
101.14,65,S
101.14,83,B
101.13,23,S
101.08,6,B
101.09,179,B
101.12,54,S
101.09,7,S
101.07,53,B
101.03,36,B
101.01,36,S
100.98,10,S
101.02,10,S
100.97,62,B
101.01,27,S
101.02,11,S
101.07,15,B
101.08,101,B
101.1,36,S
101.08,18,S
101.08,63,B
101.06,73,B
101.11,31,B
101.09,82,S
101.11,40,B
101.07,17,B
101.05,67,B
101.01,33,B
101.04,13,S
101,96,B
101,34,B
100.95,75,B
100.93,103,B
100.89,11,B
100.92,103,B
100.95,40,S
100.95,123,S
100.95,6,B
100.95,4,B
100.99,49,S
100.97,37,S
100.92,42,B
100.91,111,B
100.95,20,B
100.97,96,B
100.97,9,B
100.96,140,B
100.93,3,B
100.89,41,S
100.84,53,B
100.82,3,S
100.79,156,B
100.8,51,S
100.77,14,B
100.81,126,S
100.82,135,B
100.85,19,B
100.81,11,B
100.85,36,S
100.83,7,B
100.78,48,S
100.74,6,S
100.75,83,B
100.8,120,B
100.84,73,B
100.85,16,B
100.87,4,B
100.84,244,S
100.79,2,B
100.77,13,S
100.81,50,B
100.8,32,S
100.75,61,B
100.76,10,B
100.76,16,B
100.72,98,S
100.71,39,S
100.73,49,S
100.7,6,S
100.71,72,S
100.67,1,S
100.72,244,S
100.73,30,S
100.75,16,B
100.73,90,B
100.7,52,B
100.69,171,B
100.64,49,S
100.6,84,S
100.56,267,S
100.54,4,S
100.52,24,S
100.5,30,S
100.49,127,B
100.52,73,B
100.48,138,S
100.52,85,S
100.51,26,S
100.48,66,B
100.45,95,S
100.43,61,B
100.45,21,B
100.42,6,S
100.38,21,B
100.43,7,S
100.45,20,B
100.45,10,S
100.46,125,B
100.47,17,B
100.49,55,S
100.44,82,B
100.39,51,B
100.44,25,B
100.44,15,S
100.49,2,S
100.52,89,B
100.54,178,B
100.58,1,B
100.54,18,S
100.59,45,S
100.56,36,B
100.53,107,S
100.53,157,B
100.54,66,B
100.58,70,S
100.62,61,S
100.6,6,B
100.63,118,B
100.67,118,B
100.7,103,B
100.74,15,B
100.72,31,S
100.77,65,B
100.79,119,S
100.74,446,B
100.79,29,B
100.83,18,S
100.87,11,S
100.88,4,B
100.91,12,B
100.88,104,B
100.84,1,B
100.84,75,S
100.79,20,S
100.75,33,S
100.76,123,B
100.79,24,B
100.81,44,S
100.82,11,B
100.78,72,S
100.78,66,B
100.79,80,B
100.8,4,S
100.75,16,S
100.72,87,B
100.7,23,B
100.69,10,S
100.66,6,S
100.67,44,S
100.69,26,B
100.69,22,B
100.67,24,S
100.63,37,S
100.62,4,B
100.65,53,S
100.64,63,S
100.68,77,S
100.7,113,S
100.7,11,B
100.7,10,B
100.71,29,S
100.69,3,B
100.72,30,B
100.77,20,S
100.77,15,B
100.75,27,B
100.74,55,S
100.7,14,S
100.68,28,B
100.66,113,S
100.63,1,S
100.66,28,B
100.61,9,S
100.63,81,S
100.68,61,S
100.7,15,B
100.66,40,S
100.7,42,B
100.66,57,S
100.66,256,S
100.66,68,S
100.67,60,B
100.72,11,B
100.73,8,B
100.68,6,B
100.7,26,S
100.75,9,S
100.78,125,S
100.81,1,B
100.84,29,S
100.81,59,S
100.8,14,S
100.78,45,B
100.8,108,B
100.82,80,S
100.81,78,B
100.83,10,B
100.83,32,B
100.83,43,S
100.84,236,B
100.83,4,S
100.86,85,B
100.89,3,B
100.87,6,B
100.92,79,B
100.94,30,S
100.95,15,B
100.96,77,B
100.93,63,S
100.94,221,S
100.94,18,S
100.94,26,B
100.94,12,B
100.97,43,S
101,3,B
100.98,47,S
101.02,3,B
101.05,5,S
101.09,73,B
101.14,7,B
101.1,44,B
101.15,4,S
101.13,58,S
101.18,4,B
101.19,64,B
101.17,1,B
101.2,29,B
101.2,86,S
101.18,4,S
101.18,2,S
101.14,7,S
101.16,18,S
101.19,56,S
101.18,17,B
101.21,38,S
101.22,91,B
101.18,36,B
101.15,68,S
101.16,18,S
101.16,94,B
101.15,122,S
101.17,17,S
101.2,41,S
101.19,53,B
101.24,91,S
101.25,4,B
101.29,18,S
101.26,2,B
101.25,66,B
101.28,17,B
101.27,3,B
101.28,34,B
101.3,18,S
101.28,11,B
101.29,8,B
101.28,32,S
101.3,164,B
101.3,5,S
101.27,52,B
101.31,60,B
101.34,57,B
101.35,47,S
101.36,8,S
101.37,75,S
101.38,46,S
101.37,162,B
101.41,21,S
101.43,125,B
101.42,33,S
101.47,58,B
101.44,58,B
101.44,5,S
101.45,69,B
101.47,43,B
101.44,26,B
101.42,21,S
101.44,7,S
101.44,11,B
101.47,89,B
101.44,106,S
101.44,40,B
101.46,174,B
101.45,17,B
101.43,48,B
101.44,3,B
101.48,38,B
101.44,50,B
101.43,19,S
101.45,43,B
101.45,25,S
101.42,5,B
101.47,40,S
101.5,9,B
101.46,114,S
101.42,15,S
101.39,71,S
101.34,78,S
101.31,274,S
101.31,11,B
101.28,72,B
101.26,135,S
101.27,9,S
101.31,65,S
101.3,30,B
101.3,11,B
101.32,1,B
101.35,32,B
101.34,103,S
101.32,50,B
101.32,99,S
101.32,9,S
101.29,54,S
101.28,100,B
101.31,123,S
101.35,60,S
101.39,14,S
101.38,37,S
101.33,20,B
101.28,86,B
101.29,89,B
101.34,60,S
101.35,166,S
101.36,30,B
101.36,173,B
101.32,31,B
101.33,145,B
101.28,1,S
101.32,55,S
101.32,76,S
101.34,3,B
101.35,11,S
101.38,39,B
101.42,108,S
101.39,102,B
101.39,91,B
101.42,88,B
101.44,62,B
101.47,8,B
101.47,4,B
101.44,56,S
101.49,11,S
101.49,20,S
101.44,3,S
101.42,80,S
101.45,9,S
101.44,5,S
101.42,22,S
101.42,138,S
101.43,22,S
101.41,32,B
101.43,2,S
101.41,133,S
101.42,173,B
101.38,77,B
101.4,11,S
101.43,5,B
101.44,25,S
101.46,30,S
101.42,29,B
101.45,43,S
101.42,27,B
101.4,34,S
101.37,83,B
101.35,129,S
101.35,93,B
101.34,108,B
101.31,169,S
101.32,10,S
101.34,23,S
101.33,8,B
101.36,112,S
101.38,6,S
101.37,26,B
101.38,305,S
101.39,47,B
101.37,65,S
101.38,44,S
101.39,13,S
101.41,62,S
101.39,10,S
101.4,5,S
101.36,15,S
101.32,169,S
101.32,20,B
101.34,10,B
101.36,48,B
101.37,97,S
101.4,169,S
101.41,93,S
101.44,30,S
101.47,19,B
101.49,10,S
101.52,15,B
101.53,18,S
101.53,153,S
101.51,66,B
101.48,133,B
101.46,11,B
101.43,106,B
101.47,29,B
101.49,127,S
101.53,13,B
101.57,2,S
101.6,3,B
101.62,2,B
101.65,60,B
101.67,60,B
101.63,54,B
101.66,72,S
101.67,15,S
101.63,217,B
101.6,43,S
101.58,21,S
101.54,70,S
101.55,22,B
101.6,43,B
101.61,52,S
101.57,19,B
101.55,9,B
101.54,28,B
101.52,12,B
101.55,40,B
101.57,36,B
101.59,76,B
101.56,2,S
101.51,9,S
101.53,238,S
101.57,7,B
101.58,24,S
101.57,29,B
101.52,22,B
101.5,46,B
101.53,117,S
101.56,5,S
101.56,85,S
101.54,34,S
101.5,120,S
101.5,85,S
101.55,132,S
101.54,14,S
101.53,69,S
101.57,23,S
101.56,9,S
101.57,14,B
101.6,25,S
101.62,50,B
101.61,114,S
101.57,7,S
101.55,228,B
101.56,20,S
101.56,57,B
101.54,99,S
101.55,10,S
101.57,6,S
101.59,73,S
101.58,107,B
101.53,39,B
101.58,27,S
101.58,30,B
101.62,90,B
101.6,17,S
101.57,37,S
101.61,84,S
101.63,18,S
101.65,5,S
101.69,136,B
101.73,9,B
101.72,9,S
101.73,3,B
101.77,8,S
101.73,29,B
101.69,13,S
101.66,50,S
101.65,19,S
101.67,61,S
101.67,12,S
101.63,5,B
101.68,77,S
101.66,34,S
101.68,13,S
101.73,71,B
101.77,154,S
101.81,111,B
101.82,39,B
101.81,15,S
101.79,1,S
101.82,33,S
101.8,2,S
101.81,1,S
101.83,121,S
101.86,65,S
101.83,25,S
101.85,72,B
101.85,24,S
101.81,8,S
101.82,40,S
101.82,33,S
101.8,35,S
101.81,10,B
101.84,73,B
101.83,95,S
101.86,36,B
101.84,25,S
101.84,17,S
101.84,61,S
101.86,40,S
101.81,48,S
101.82,24,S
101.83,74,B
101.84,4,B
101.82,12,B
101.79,42,B
101.75,42,B
101.74,25,S
101.73,114,B
101.73,10,B
101.7,44,S
101.67,25,S
101.72,14,B
101.74,200,B
101.76,8,B
101.72,22,B
101.69,84,S
101.66,260,B
101.62,19,S
101.6,54,S
101.62,74,B
101.63,5,S
101.63,9,S
101.6,79,S
101.55,24,S
101.55,104,B
101.5,57,B
101.5,109,S
101.5,7,B
101.54,13,B
101.56,109,B
101.53,6,S
101.54,82,S
101.56,23,S
101.57,46,S
101.55,108,B
101.54,118,S
101.53,35,B
101.48,32,B
101.52,62,S
101.56,26,B
101.57,95,S
101.62,31,S
101.57,40,B
101.59,58,S
101.55,49,S
101.59,40,B
101.54,23,S
101.5,18,B
101.51,1,B
101.49,44,B
101.52,41,S
101.57,27,S
101.57,7,S
101.59,52,S
101.62,60,S
101.66,57,B
101.64,232,S
101.63,79,S
101.59,12,S
101.57,21,B
101.58,56,S
101.62,44,B
101.64,132,S
101.69,79,S
101.69,47,B
101.67,9,B
101.69,43,B
101.73,92,S
101.77,41,B
101.74,29,B
101.74,20,S
101.73,23,B
101.71,59,S
101.76,135,S
101.73,105,S
101.71,1,B
101.71,53,B
101.7,8,S
101.67,52,S
101.68,8,B
101.63,23,S
101.66,26,S
101.69,71,S
101.69,56,B
101.64,86,S
101.65,45,S
101.67,20,S
101.66,77,S
101.67,197,B
101.66,16,B
101.65,106,S
101.62,36,B
101.66,12,B
101.67,115,S
101.7,109,B
101.68,113,B
101.69,54,S
101.69,1,B
101.67,212,S
101.68,45,B
101.63,80,S
101.59,2,S
101.61,77,S
101.64,45,S
101.63,4,S
101.6,12,S
101.64,46,S
101.63,39,S
101.59,122,S
101.55,12,S
101.59,48,B
101.57,93,B
101.53,100,S
101.54,110,S
101.57,87,S
101.56,15,B
101.58,36,B
101.54,52,B
101.59,165,S
101.59,17,B
101.59,102,S
101.62,82,S
101.58,203,S
101.56,29,B
101.58,40,B
101.58,93,B
101.61,19,B
101.65,8,B
101.68,18,B
101.65,24,S
101.67,16,S
101.69,14,B
101.65,26,S
101.65,1,S
101.63,15,S
101.65,19,B
101.64,19,S
101.6,99,S
101.61,74,S
101.61,40,B
101.59,14,B
101.6,8,B
101.58,87,S
101.59,16,S
101.62,34,B
101.65,16,S
101.64,61,B
101.62,81,S
101.65,72,B
101.63,73,B
101.59,7,S
101.62,38,S
101.67,12,B
101.65,14,B
101.62,38,B
101.63,19,S
101.64,9,B
101.62,77,B
101.58,26,B
101.59,63,B
101.56,12,S
101.53,40,B
101.52,104,S
101.55,56,S
101.52,44,S
101.56,81,S
101.55,73,S
101.57,126,S
101.57,15,S
101.61,59,B
101.57,102,B
101.56,2,B
101.57,189,S
101.52,78,B
101.52,3,S
101.56,32,B
101.6,22,B
101.55,2,B
101.54,47,S
101.55,4,B
101.57,96,B
101.58,24,S
101.57,6,B
101.54,21,B
101.52,64,B
101.53,173,S
101.53,13,S
101.56,69,S
101.57,8,S
101.56,23,B
101.58,77,S
101.62,81,B
101.6,10,S
101.59,18,B
101.56,119,S
101.51,77,S
101.56,6,B
101.59,25,B
101.57,68,S
101.55,263,B
101.53,14,B
101.5,8,S
101.53,52,B
101.56,122,S
101.52,6,B
101.52,34,B
101.55,48,B
101.56,56,S
101.56,39,S
101.54,30,S
101.52,2,B
101.56,31,S
101.52,6,S
101.54,13,S
101.5,60,B
101.46,157,B
101.48,6,S
101.46,31,B
101.51,149,S
101.53,46,B
101.52,37,B
101.56,20,S
101.61,60,B
101.59,43,B
101.6,17,S
101.56,43,B
101.53,61,S
101.57,3,B
101.56,26,S
101.6,24,B
101.59,14,B
101.6,14,S
101.62,27,S
101.58,41,B
101.53,138,B
101.51,134,S
101.55,36,S
101.58,363,B
101.54,74,S
101.52,30,S
101.55,38,S
101.56,75,S
101.55,41,S
101.59,162,S
101.59,11,S
101.57,68,S
101.56,66,S
101.55,140,B
101.55,151,S
101.52,18,B
101.52,91,S
101.5,10,B
101.45,14,B
101.45,139,S
101.48,56,S
101.52,103,S
101.48,29,B
101.51,101,B
101.47,13,B
101.46,2,B
101.49,17,B
101.51,30,S
101.47,111,S
101.52,33,B
101.51,14,S
101.56,50,B
101.52,14,S
101.5,4,B
101.48,19,B
101.53,52,B
101.52,4,B
101.53,95,S
101.54,90,S
101.54,20,B
101.57,27,B
101.53,15,S
101.49,111,B
101.52,13,B
101.57,82,B
101.53,104,B
101.51,12,S
101.53,150,B
101.53,47,B
101.51,118,S
101.49,25,B
101.47,10,B
101.46,138,S
101.42,143,B
101.43,58,B
101.48,104,B
101.51,46,B
101.46,1,S
101.46,94,B
101.47,47,S
101.52,23,S
101.47,36,B
101.43,8,S
101.46,27,S
101.44,4,B
101.49,31,B
101.46,37,S
101.48,235,B
101.47,89,B
101.47,182,B
101.48,1,B
101.48,32,B
101.52,110,S
101.51,66,B
101.47,55,B
101.45,20,S
101.46,198,S
101.43,27,B
101.47,19,B
101.5,67,B
101.54,152,S
101.55,3,S
101.58,6,B
101.57,3,B
101.52,116,B
101.5,19,B
101.48,138,B
101.49,21,B
101.5,1,S
101.52,1,S
101.48,9,S
101.51,45,S
101.56,39,B
101.51,38,B
101.5,106,B
101.48,36,S
101.44,101,S
101.48,88,B
101.44,3,S
101.41,12,B
101.45,12,S
101.49,107,S
101.53,78,B
101.55,58,B
101.52,50,B
101.52,32,S
101.51,16,S
101.46,49,B
101.42,2,B
101.41,66,S
101.45,55,S
101.42,2,B
101.42,44,B
101.45,65,S
101.42,17,S
101.44,28,S
101.48,6,S
101.44,75,S
101.44,40,B
101.45,90,B
101.47,27,B
101.45,25,S
101.42,1,S
101.45,53,S
101.42,125,S
101.38,1,B
101.42,60,S
101.45,3,B
101.47,32,B
101.44,43,B
101.47,143,S
101.51,7,S
101.54,33,B
101.56,17,B
101.55,32,S
101.56,7,S
101.55,32,B
101.51,133,B
101.56,16,B
101.53,75,B
101.57,69,B
101.54,4,B
101.51,8,B
101.47,131,B
101.44,27,S
101.43,48,B
101.4,214,S
101.41,139,B
101.43,15,S
101.4,65,B
101.36,24,B
101.4,140,S
101.39,136,B
101.39,31,S
101.42,69,S
101.4,18,B
101.4,2,B
101.42,46,B
101.41,129,B
101.4,117,S
101.41,136,S
101.43,59,B
101.44,102,S
101.47,46,B
101.49,98,B
101.5,76,B
101.54,104,B
101.52,14,B
101.54,103,S
101.51,61,B
101.55,50,S
101.55,85,S
101.59,29,B
101.56,77,S
101.53,55,B
101.52,10,B
101.5,28,S
101.46,2,B
101.49,32,B
101.47,23,B
101.47,7,S
101.46,127,B
101.43,145,S
101.46,9,B
101.42,38,S
101.45,10,S
101.48,18,S
101.47,24,S
101.45,14,S
101.41,80,B
101.43,53,B
101.42,73,B
101.45,44,S
101.45,30,S
101.5,106,S
101.54,102,B
101.57,2,B
101.6,6,S
101.56,92,B
101.58,162,B
101.63,24,S
101.68,36,S
101.71,16,S
101.69,12,B
101.72,175,S
101.73,14,B
101.7,6,B
101.75,12,B
101.71,23,B
101.7,1,S
101.7,27,S
101.73,253,B
101.73,1,B
101.75,42,B
101.72,66,S
101.74,72,S
101.76,40,S
101.71,40,S
101.69,20,S
101.67,99,B
101.71,23,S
101.7,11,S
101.7,6,B
101.72,12,B
101.68,6,B
101.68,62,S
101.68,16,S
101.64,16,S
101.62,51,S
101.63,69,S
101.63,32,S
101.65,21,S
101.63,73,S
101.68,47,S
101.69,46,B
101.65,41,S
101.67,66,B
101.63,28,B
101.68,38,B
101.7,20,B
101.71,16,S
101.66,6,S
101.69,111,S
101.65,8,S
101.68,214,S
101.66,48,B
101.7,56,S
101.68,102,B
101.7,6,B
101.68,74,B
101.64,57,B
101.63,106,S
101.67,55,S
101.72,169,B
101.73,4,S
101.75,12,S
101.71,97,S
101.74,4,B
101.71,17,B
101.73,65,S
101.77,97,S
101.78,1,S
101.79,263,S
101.75,37,B
101.72,107,B
101.69,43,S
101.64,44,S
101.63,11,B
101.61,28,B
101.58,54,B
101.55,41,S
101.52,4,S
101.55,154,B
101.54,11,B
101.53,6,S
101.58,11,B
101.58,59,B
101.62,18,B
101.63,6,B
101.67,1,S
101.64,56,S
101.64,2,S
101.65,143,B
101.66,42,B
101.62,37,B
101.61,13,S
101.58,64,B
101.58,46,S
101.59,40,B
101.61,11,S
101.62,9,B
101.64,1,B
101.68,56,S
101.68,14,B
101.66,7,B
101.68,2,S
101.65,4,S
101.67,44,S
101.64,12,B
101.6,41,B
101.61,15,B
101.65,13,S
101.61,40,B
101.56,33,S
101.55,18,S
101.56,17,B
101.55,34,B
101.53,9,S
101.48,5,S
101.53,11,S
101.52,39,B
101.49,44,B
101.54,53,S
101.53,2,B
101.56,105,B
101.55,63,B
101.52,99,S
101.53,41,S
101.58,18,B
101.58,45,S
101.59,7,B
101.61,93,S
101.62,42,S
101.62,12,S
101.65,153,S
101.66,18,S
101.71,67,B
101.73,85,S
101.76,13,B
101.76,84,B
101.75,29,B
101.77,1,B
101.79,13,S
101.81,15,S
101.79,26,B
101.81,1,B
101.79,7,B
101.74,12,B
101.71,57,B
101.68,55,S
101.7,65,B
101.7,7,S
101.74,33,B
101.69,30,B
101.67,6,B
101.66,58,B
101.64,84,B
101.69,9,S
101.66,10,S
101.69,53,S
101.72,6,B
101.72,11,B
101.7,75,S
101.7,5,B
101.73,4,B
101.72,22,B
101.71,19,B
101.66,7,S
101.62,3,B
101.58,76,B
101.58,81,S
101.61,11,S
101.57,26,S
101.58,125,B
101.63,17,S
101.67,86,B
101.65,199,S
101.61,10,B
101.61,4,B
101.61,31,S
101.58,9,B
101.62,12,S
